asin,brand,title,,,rating,review,totalReviews,prices
B0000SX2UC,Nokia,Dual-Band / Tri-Mode Sprint PCS Phone w/ Voice Activated Dialing & Bright White Backlit Screen,,,3,"I feel so LUCKY to have found this used (phone to us & not used hard at all), phone on line from someone who upgraded and sold this one. My Son liked his old one that finally fell apart after 2.5+ years and didn't want an upgrade!! Thank you Seller, we really appreciate it & your honesty re: said used phone.I recommend this seller very highly & would but from them again!!",14,
B0009N5L7K,Motorola,Motorola I265 phone,,,2.9,"nice phone, nice up grade from my pantach revue. Very clean set up and easy set up. never had an android phone but they are fantastic to say the least. perfect size for surfing and social media. great phone samsung",7,$49.95 
B000SKTZ0S,Motorola,MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE,,,2.6,Very pleased,22,
B00198M12M,Nokia,Nokia 6500 Slide Black/silver Unlocked Cell Phone,,,2.4,It works good but it goes slow sometimes but its a very good phone I love it,5,
B001AO4OUC,Motorola,Motorola i335 Cell Phone Boost Mobile,,,3.3,"Great phone to replace my lost phone. The only thing is the volume up button does not work, but I can still go into settings to adjust. Other than that, it does the job until I am eligible to upgrade my phone again.Thaanks!",21,
B001DCJAJG,Motorola,Motorola V365 no contract cellular phone AT&T,,,3.2,"I already had a phone with problems... I know it stated it was used, but dang, it did not state that it did not charge. I wish I would have read these comments then I would have not purchased this item.... and its cracked on the side.. damaged goods is what it is.... If trying to charge it another way does not work I am requesting for my money back... AND I WILL GET MY MONEY BACK...SIGNED AN UNHAPPY CUSTOMER....",12,
B001DZY4KI,Sony,Sony Ericsson G700 Triband GSM Phone Bronze (Unlocked),,,2,The charging port was loose. I got that soldered in. Then needed a new battery as well. $100 later (not including cost of purchase) I have a usable phone. The phone should not have been sold in the state it was in.,1,$78.99 
B001GQ3DJM,Nokia,Nokia 1680 Black Phone (T-Mobile),,,2.7,"Phone looks good but wouldn't stay charged, had to buy new battery. Still couldn't stay charged long.so I trashed it.MONEY lost, never again will I buy from this person! !!!",3,
B0027VKQPE,Nokia,Nokia New 1100 for Tracfone,,,3.2,"I originally was using the Samsung S2 Galaxy for Sprint and wanted to return back to the Samsung EPIC 4G for Sprint because I really missed the keyboard, I really liked the smaller compact size of the phone, and I still needed some of the basic functions of a smart phone (i.e. checking e-mail, getting directions, text messaging) Because the phone is not as powerful as the newer cell phones out there, just be aware that the more applications you install the slower the phone runs and will most likely freeze up from time to time. But the camera works great, the video is great as well, and even the web browsing is decent and gives me what I need. I also notice that battery life lasts a little bit longer and charging the phone is much quicker than my Galaxy S2.",8,$99.99 
B00280QJFU,Samsung,Samsung T301G Prepaid Phone (Tracfone),,,3.5,It's battery life is great. It's very responsive to touch. The only issue is that sometimes the screen goes black and you have to press the top button several times to get the screen to re-illuminate.,133,$59.89 
B0029X7UHC,Motorola,Motorola I205 cell phone nextel/Boost,,,2.9,"My fiance had this phone previously, but caused many problems. So, of course, we decided to browse amazon for a replacement til' our contract is up! & so far so good!",2,$99.95 
B002AS9WEA,Samsung,Samsung a167 Prepaid GoPhone (AT&T),,,2.9,"This is a great product it came after two days of ordering it. There was only one little blemish on the side,but who cares as long as the phone is fullly functional.i recommend this product to anyone reading this.",18,$149.95 
B002UHS0UI,Motorola,Verizon Wireless Motorola RAZR V3m - Silver,,,2.8,These guys are the best! I had a little situation with my item but they quickly fixed the issue. I was pleased and will definitely be buying another phon from them if I need one.,201,
B003FCO9XE,Samsung,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,,,2.8,I'm really disappointed about my phone and service. The phone went out on me over a week ago. Instead of handling it when issue first surfaced. I've been told to do this and do that. Now I'm stick with no phone and I'm out 55 dollars for service that I'm not using. I still haven't received a mailing label to return item. This was my first purchase on amazon. I'm not rushing to use theirs or smartphones 288 business Anytime soon. I thought I was getting a deal but it seems like I'm the one who lucked out.,76,
B003MW0OIQ,Samsung,Samsung a107 Prepaid GoPhone (AT&T),,,2.6,Ordered this phone as a replacement for the same model until my contract expires and I can get a new one. Seller confirmation said delivery could take up to 7 days. Seller sent out the phone within hours of receiving the order and I had the phone the next day. Phone looks better than described was able to transfer data from the old one to the new one with no problems. Highly recommend this seller,131,
B003P2VNAQ,Samsung,"Samsung Rugby II, Black (AT&T)",,,3.2,"Had this phone before and loved it but was not working so I got this phone. One thing is the SD card slot does not open up when I try to access it in file managment, even does not show up on the computer. The card is fine was able to open on another phone. Trying to trouble shoot it for now.",66,
B003W646YK,Motorola,Motorola i570 Nextel iDen PTT rugged black cell phone,,,2.9,"I was able to get the phone I previously owned...with a keyboard and touch screen. It's the best phone and I love it. I still had to clean the device with my service provider, but it was well worth it.",3,$79.00 
B003XREZ4O,Samsung,"Samsung Gusto, Black (Verizon Wireless)",,,2,"I brought this phone as a replacement for my daughter, who is very hard on cell phones. I must say it was a great purchase. The phone work wonderful. Thank you",15,
B004C7NVD0,Samsung,Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon,,,3.4,I love the phone. It does everything I need and works great. I purchased four of these phones through a seller that shipped from Amazon's warehouse. My only problem is that the phone didn't come with a micro sd card. I couldn't use the camera until I got the card. No problems getting these activated at Sprint.,102,
B004GLQTG8,Samsung,Samsung R355C Net 10 Unlimited,,,3.5,"unfortunately Sprint could not activate the phone due to the blocking issue with the phone, the matter was handled very well and quickly. Very satisfied with the service.",146,$79.99 
B004H23JXW,Samsung,"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)",,,3.4,"The battery was old & had been over used because it barely holds a charge. Otherwise, no issues with the phone itself.",348,
